Property Name,Property Code,Brand,#Rooms,Activation Date,Revenue,Profit Margin,Gross Profit,Flag,Size Subset,SPOR,Group,Type
Tru by Hilton Salt Lake City Airport,SLCRU,Hilto,95.0,2018-03-28,2699.9,0.60481,1632.92,Tru by Hilton,2,1.3649287278595303,Select Service,Focused Service
Hilton Garden Inn Mobile West I-65/Airport Blvd.,MOBWS,Hilto,101.0,2017-02-10,2641.76,0.73062,1930.12,Hilton Garden Inn,3,1.2561973913609135,Select Service,Focused Service
Hampton Inn & Suites Trophy Club,FTWTC,Hilto,94.0,2015-03-11,2636.01,0.67633,1782.81,Hampton Inn & Suites by Hilton,2,1.3468061808155032,Select Service,Focused Service
Hampton Inn & Suites by Hilton Snellville,ATLSV,Hilto,100.0,2018-12-20,2630.95,0.66684,1754.41,Hampton Inn & Suites by Hilton,3,1.2635676412955774,Select Service,Focused Service
TRU by Hilton Sumter,SSCSC,Hilto,90.0,2018-08-07,2541.17,0.62521,1588.77,Tru by Hilton,2,1.356054396502777,Select Service,Focused Service
Hilton Garden Inn Allentown Bethlehem Airport,ABEGI,Hilto,106.0,2015-01-15,2538.05,0.72552,1841.41,Hilton Garden Inn,3,1.1499533140838505,Select Service,Focused Service
Hampton Inn Oneonta,ONHNJ,Hilto,106.0,2014-12-08,2532.0,0.50871,1288.05,Hampton Inn by Hilton,3,1.147212147617387,Select Service,Focused Service
Hampton Inn & Suites Southwest/Sioux Falls,FSDSW,Hilto,93.0,2018-11-09,2505.45,0.64406,1613.65,Hampton Inn & Suites by Hilton,2,1.2938641881817514,Select Service,Focused Service
Tru by Hilton Sterling Heights Detroit,DTWSH,Hilto,98.0,2018-05-15,2494.9,0.60574,1511.27,Tru by Hilton,2,1.222680450364339,Select Service,Focused Service
Homewood Suites Philadelphia Valley Forge,PHLHW,Hilto,123.0,2015-06-21,2428.88,0.70047,1701.36,Homewood Suites by Hilton,3,0.9483897428592758,All Suites,All Suites
Embassy Suites by Hilton Memphis,MEMPE,Hilto,220.0,2018-01-31,2399.6,0.67192,1612.33,Embassy Suites,5,0.5238441199174283,All Suites,All Suites
Hilton Garden Inn Saskatoon Downtown,YXESD,Hilto,180.0,2014-10-08,2348.82,0.65256,1532.75,Hilton Garden Inn,4,0.6267049602336036,Select Service,Focused Service
Tru by Hilton Lafayette,LFTRU,Hilto,98.0,2018-10-24,2341.74,0.61924,1450.09,Tru by Hilton,2,1.1476210340439243,Select Service,Focused Service
Hampton Inn & Suites Blythe,BLHBL,Hilto,81.0,2016-03-30,2327.11,0.57189,1330.86,Hampton Inn & Suites by Hilton,2,1.3798052544674642,Select Service,Focused Service
